ticker,name,ISIN,申万行业分类,申万行业代码,中信行业分类,中信行业代码,上证50,沪深300,中证500,市值,申万一级名称,申万二级名称
000919.SZ,金陵药业,CNE0000010W5,医药生物-中药Ⅱ-中药Ⅲ,6115000000000000-6115050000000000-6115050100000000,医药--中药生产--中成药,b10i000000000000-b10i020000000000-b10i020200000000,否,否,否,34.776,医药生物,中药Ⅱ
000920.SZ,南方汇通,CNE000000Z51,公用事业-环保工程及服务Ⅱ-环保工程及服务Ⅲ,6116000000000000-6116020000000000-6116020100000000,电力及公用事业--环保及公用事业--环保及水务,b104000000000000-b104020000000000-1000034695000000,否,否,否,40.512,公用事业,环保工程及服务Ⅱ
000921.SZ,海信家电,CNE000000LC9,家用电器-白色家电-冰箱,6111000000000000-6111010000000000-6111010100000000,家电--白色家电Ⅱ--白色家电Ⅲ,b10g000000000000-b10g010000000000-b10g010100000000,否,否,否,209.859707,家用电器,白色家电
000922.SZ,佳电股份,CNE0000007V3,电气设备-电机Ⅱ-电机Ⅲ,6107010000000000-6107010100000000-1000012563000000,电力设备及新能源--电气设备--电机,b10b000000000000-b10b020000000000-1000034756000000,否,否,否,46.07649608,电气设备,电机Ⅱ
000923.SZ,河钢资源,CNE000000ZK2,采掘-其他采掘Ⅱ-其他采掘Ⅲ,6102000000000000-6102020000000000-6102020100000000,钢铁--其他钢铁--铁矿石,b105000000000000-b105020000000000-b105020200000000,否,否,否,137.0730818,采掘,其他采掘Ⅱ
000925.SZ,众合科技,CNE000000Z93,机械设备-运输设备Ⅱ-铁路设备,6107000000000000-1000012580000000-6109010600000000,机械--运输设备--铁路交通设备,b10a000000000000-b10a040000000000-b10a040100000000,否,否,否,38.91383968,机械设备,运输设备Ⅱ
000926.SZ,福星股份,CNE000000ZG0,房地产-房地产开发Ⅱ-房地产开发Ⅲ,6118000000000000-6118010000000000-6118010100000000,房地产--房地产开发和运营--住宅物业开发,b10n000000000000-b10n010000000000-b10n010100000000,否,否,否,50.81801863,房地产,房地产开发Ⅱ
000927.SZ,*ST夏利,CNE000000ZV9,汽车-汽车整车-乘用车,1000012588000000-6109040000000000-6109040100000000,汽车--乘用车Ⅱ--乘用车Ⅲ,b10d000000000000-b10d010000000000-b10d010100000000,否,否,否,66.19972183,汽车,汽车整车
000928.SZ,中钢国际,CNE0000007W1,建筑装饰-专业工程-国际工程承包,6106020000000000-1000004603000000-1000012561000000,建筑--建筑施工--基建建设,b107000000000000-b107010000000000-1000034718000000,否,否,否,53.53384133,建筑装饰,专业工程
000929.SZ,兰州黄河,CNE000000ZD7,食品饮料-饮料制造-啤酒,6112000000000000-6112030000000000-6112030200000000,食品饮料--酒类--啤酒,b10j000000000000-b10j010000000000-1000034796000000,否,否,否,17.926419,食品饮料,饮料制造
000930.SZ,中粮科技,CNE000000ZR7,农林牧渔-农产品加工-其他农产品加工,6101000000000000-6101020000000000-1000004586000000,农林牧渔--农产品加工Ⅱ--农产品加工Ⅲ,b10k000000000000-1000034803000000-1000034804000000,否,否,是,161.0154149,农林牧渔,农产品加工
000931.SZ,中关村,CNE000001030,医药生物-化学制药-化学制剂,6115000000000000-6115010000000000-6115010200000000,综合--综合Ⅱ--综合Ⅲ,b10t000000000000-b10t010000000000-b10t010100000000,否,否,否,58.21671571,医药生物,化学制药
000932.SZ,华菱钢铁,CNE000001006,钢铁-钢铁Ⅱ-普钢,6104000000000000-6104010000000000-6104010100000000,钢铁--普钢--板材,b105000000000000-b105010000000000-b105010200000000,否,否,是,336.4863389,钢铁,钢铁Ⅱ
000933.SZ,神火股份,CNE000001097,有色金属-工业金属-铝,6105000000000000-1000012617000000-6105020200000000,有色金属--工业金属--铝,b103000000000000-b103020000000000-b103020500000000,否,否,否,154.51065,有色金属,工业金属
000935.SZ,四川双马,CNE000001048,建筑材料-水泥制造Ⅱ-水泥制造Ⅲ,6106010000000000-6106010200000000-1000012546000000,建材--结构材料--水泥,b108000000000000-1000034723000000-1000034724000000,否,否,否,103.9042293,建筑材料,水泥制造Ⅱ
000936.SZ,华西股份,CNE000001063,化工-化学纤维-涤纶,6103000000000000-6103020000000000-6103020100000000,基础化工--化学纤维--涤纶,b106000000000000-b106020000000000-b106020100000000,否,否,否,63.17271884,化工,化学纤维
000937.SZ,冀中能源,CNE0000010H6,采掘-煤炭开采Ⅱ-煤炭开采Ⅲ,6102000000000000-6102010000000000-6102010100000000,煤炭--煤炭开采洗选--炼焦煤,b102000000000000-b102010000000000-b102010300000000,否,否,是,139.5751006,采掘,煤炭开采Ⅱ
000938.SZ,紫光股份,CNE0000010T1,计算机-计算机应用-IT服务,1000012601000000-6122020000000000-1000012603000000,计算机--计算机设备--通用计算机设备,b10r000000000000-b10r010000000000-b10r010100000000,否,是,否,627.2155164,计算机,计算机应用
